Date,Close,Open,High,Low,Volume,Change %,Vol.
8/29/2012,2214.81,2230.2,2240.11,2214.43,29010,-1.05%,29.01
8/30/2012,2211.37,2204.51,2223.2,2188.72,35490,-0.16%,35.49
8/31/2012,2204.87,2205.57,2218.87,2203.12,25970,-0.29%,25.97
9/3/2012,2228.37,2201.12,2236.56,2197.71,38550,1.07%,38.55
9/4/2012,2204.41,2231.72,2234.88,2199.51,34850,-1.08%,34.85
9/5/2012,2199.88,2199.74,2209.54,2186.96,34750,-0.21%,34.75
9/6/2012,2217.82,2204.44,2218.68,2199.86,31700,0.82%,31.7
9/7/2012,2317.18,2233.91,2341.52,2233.91,94530,4.48%,94.53
9/10/2012,2326.67,2320.56,2334.5,2313.57,65330,0.41%,65.33
9/11/2012,2311.89,2316.53,2316.53,2294.82,46260,-0.64%,46.26
9/12/2012,2320.07,2325.93,2337.2,2298.3,49620,0.35%,49.62
9/13/2012,2298.46,2316.68,2325.53,2298.37,42050,-0.93%,42.05
9/14/2012,2315.54,2324.01,2332.42,2298.83,61570,0.74%,61.57
9/17/2012,2258.7,2312.05,2314.99,2258.18,48990,-2.45%,48.99
9/18/2012,2235.24,2249.43,2253.14,2228.04,33230,-1.04%,33.23
9/19/2012,2246.24,2237.22,2249.24,2229.49,34350,0.49%,34.35
9/20/2012,2195.95,2236.19,2236.19,2194.22,42550,-2.24%,42.55
9/21/2012,2199.06,2190.33,2217.47,2186.53,38120,0.14%,38.12
9/24/2012,2215.52,2183.97,2225.8,2172.88,37500,0.75%,37.5
9/25/2012,2210.15,2209.97,2225.33,2202.38,27880,-0.24%,27.88
9/26/2012,2184.89,2208.91,2216.82,2181.08,27460,-1.14%,27.46
9/27/2012,2251.72,2186,2266.3,2185.77,53020,3.06%,53.02
9/28/2012,2293.11,2235.06,2297.03,2234.32,57880,1.84%,57.88
10/8/2012,2270.05,2291.96,2305.18,2258.11,35530,-1.01%,35.53
10/9/2012,2320.16,2281.75,2327.73,2281.75,52550,2.21%,52.55
10/10/2012,2324.12,2314.59,2325.75,2304.61,42690,0.17%,42.69
10/11/2012,2302.53,2315.9,2321.35,2300.93,41300,-0.93%,41.3
10/12/2012,2304.53,2311.28,2332.15,2287.01,36870,0.09%,36.87
10/15/2012,2294.86,2306.01,2307.88,2278.46,28650,-0.42%,28.65
10/16/2012,2298.16,2293.24,2315.45,2287.59,32060,0.14%,32.06
10/17/2012,2300.8,2307.36,2312.17,2280.82,33350,0.11%,33.35
10/18/2012,2336.08,2307.49,2341.12,2305.88,50620,1.53%,50.62
10/19/2012,2332.47,2335.11,2342.53,2328.73,35930,-0.15%,35.93
10/22/2012,2341.59,2320.47,2347.89,2315.89,34370,0.39%,34.37
10/23/2012,2312.08,2340.89,2344.04,2309.25,37220,-1.26%,37.22
10/24/2012,2307.78,2303.4,2321.43,2302.17,37540,-0.19%,37.54
10/25/2012,2291.24,2306.73,2322.92,2288.6,44350,-0.72%,44.35
10/26/2012,2247.91,2291.31,2293.18,2237.06,40900,-1.89%,40.9
10/29/2012,2235.85,2241.8,2248.14,2227.65,27580,-0.54%,27.58
10/30/2012,2239.88,2236.32,2257.95,2231.78,34080,0.18%,34.08
10/31/2012,2254.82,2241.43,2256.09,2233.68,37170,0.67%,37.17
11/1/2012,2297.88,2256.61,2305.63,2256.41,50760,1.91%,50.76
11/2/2012,2306.77,2297.9,2309.67,2284.72,39830,0.39%,39.83
11/5/2012,2301.88,2302.74,2318.23,2290.14,39510,-0.21%,39.51
11/6/2012,2292.21,2301.98,2304.05,2260.51,39280,-0.42%,39.28
11/7/2012,2287.51,2288.76,2300.89,2277.02,33070,-0.21%,33.07
11/8/2012,2245.41,2269.58,2275.4,2245.4,35430,-1.84%,35.43
11/9/2012,2240.92,2241.76,2252.2,2235.23,30510,-0.20%,30.51
11/12/2012,2251.85,2242.96,2254.7,2232.74,34720,0.49%,34.72
11/13/2012,2212.44,2250.84,2250.84,2208.72,34080,-1.75%,34.08
11/14/2012,2223.11,2213.09,2225.12,2206,26760,0.48%,26.76
11/15/2012,2193.62,2210.75,2220.99,2193.52,28320,-1.33%,28.32
